cltv,dti,int_rt,fico_t_bin,def_flag
95,23,4.125,-0.271722053,0
66,48,3.4,1.309042613,0
80,27,5.75,1.309042613,0
75,13,4.875,-0.837983652,1
21,22,4.875,-1.647589678,0
94,40,6.125,-1.497569554,0
67,34,3.625,-0.837983652,0
66,45,5,-1.647589678,0
55,12,3.375,-1.647589678,0
73,21,4.375,-1.647589678,0
80,18,6,-1.647589678,0
50,43,3.5,1.309042613,0
88,37,6.375,1.309042613,0
100,35,6,1.309042613,0
95,41,4.75,1.309042613,0
100,48,6.625,0.333144447,1
67,27,5.25,-1.497569554,0
60,27,5.125,1.309042613,0
80,31,6.375,1.309042613,0
72,41,4.375,0.333144447,1
49,36,3.375,-0.837983652,0
91,10,4.75,-1.647589678,0
70,30,7.5,1.309042613,1
80,29,4.125,-1.497569554,0
44,38,6.25,-1.647589678,0
71,30,3.75,0.333144447,0
61,24,6.875,1.309042613,0
68,34,4.25,-1.497569554,0
73,48,4.75,-1.647589678,0
78,28,4.875,-0.837983652,0
80,29,5,-0.837983652,0
75,32,3.5,-1.497569554,0
65,19,5.375,-1.497569554,0
80,47,6.99,-0.271722053,0
95,61,6.5,-0.837983652,1
85,46,5,-1.497569554,0
53,13,3,-1.497569554,0
80,28,6.25,1.309042613,1
75,45,4.375,1.309042613,0
23,39,3.5,-0.837983652,0
80,17,3.625,-0.271722053,0
95,42,4.75,0.333144447,0
64,42,5,1.309042613,1
40,38,3.95,-0.271722053,0
55,44,3.625,-0.837983652,0
75,39,4.5,-1.497569554,0
34,35,3.875,0.333144447,0
80,18,6.375,0.333144447,0
80,46,4.125,-0.837983652,0
42,24,5.75,0.333144447,0
68,44,3.625,-0.271722053,0
72,22,6,-0.271722053,0
52,42,3.625,-0.271722053,0
49,33,3.625,-1.647589678,0
73,28,6.25,-0.271722053,0
76,25,4.75,-1.497569554,0
69,32,7,1.309042613,1
44,40,4.75,-0.837983652,0
73,37,4.375,-0.837983652,0
79,999,6.5,1.309042613,0
75,39,2.875,-0.271722053,0
61,33,5.75,-0.837983652,1
58,53,5.375,0.333144447,1
80,29,2.875,-0.837983652,0
70,50,6.625,-0.271722053,0
46,25,5.625,-1.497569554,0
45,14,5.25,-0.837983652,0
90,36,4.625,-0.271722053,0
69,31,3.875,-1.647589678,0
80,35,6.5,1.309042613,0
80,48,2.875,-0.837983652,0
73,46,6.875,-0.271722053,0
