 TOT_TRANS,NO_HIGH_RISK_TXN,NO_OF_ACCOUNTS,TVHR_TRAN_AMT,CUSTOMER_RISK_LEVEL,ALERT_STATUS
139,2,4,5832841,1,0
139,7,12,10203273,2,0
60,13,2,401072,3,0
44,2,1,5997873,4,0
92,1,11,533590,5,0
136,7,17,3784926,6,0
107,3,6,10499848,7,0
62,4,6,9758717,8,0
76,13,4,8323835,9,0
138,4,19,1305930,10,0
148,3,20,5141704,7,0
33,3,20,4040201,8,0
46,8,8,6714102,5,0
122,9,18,8611704,3,0
93,5,7,10709074,9,0
104,0,17,0,2,0
43,6,12,8605817,6,0
58,14,20,10555620,8,0
44,6,13,10305827,3,0
150,5,18,3913043,4,0
36,9,10,10027060,6,0
75,10,11,6819222,3,0
27,0,5,0,7,0
26,9,1,3316608,3,0
36,8,4,11209674,4,0
83,1,15,9225676,6,0
109,3,6,5138977,3,0
99,13,15,2754775,7,0
47,8,6,3746846,8,0
125,3,7,3811517,9,0
94,0,18,0,9,0
42,12,10,3820622,3,0
53,12,1,6324233,9,0
129,6,2,1781123,7,0
109,15,10,5422915,7,0
68,0,4,0,3,0
100,15,11,6356747,3,0
29,2,5,3778699,7,0
120,6,2,6832603,4,0
65,2,8,6107251,7,0
75,6,18,8914392,4,0
48,3,1,10063610,4,0
32,12,6,4432098,5,0
102,14,4,2524452,10,0
68,1,5,8619591,7,0
35,5,18,2523945,10,0
124,10,19,11572311,4,0
59,11,18,8870629,1,0
119,5,11,7357258,1,0
102,3,1,2331891,1,0
146,7,11,3350586,9,0
39,15,12,10274112,5,0
112,5,15,457798,5,0
131,9,6,7234729,2,0
49,13,1,2584928,7,0
97,3,8,9755925,5,0
93,6,10,5980751,10,0
126,9,16,4590686,2,0
74,0,9,0,5,0
32,6,7,244724,4,0
103,0,2,0,8,0
117,8,18,7285532,8,0
75,3,1,3841215,5,0
109,6,8,7521703,9,0
29,7,11,1699678,1,0
122,14,15,5732611,6,0
83,3,17,254812,3,0
26,2,5,6290456,2,0
67,9,10,3339077,5,0
30,4,7,11766026,9,0
81,15,1,4308686,4,0
46,9,19,6351469,5,0
54,2,7,6245864,5,0
141,9,16,6310474,10,0
148,10,4,9443497,10,0
108,3,13,5312579,7,0
119,4,8,5357279,4,0
123,4,16,1088901,8,0
76,1,20,3372908,8,0
146,13,7,5768086,6,0
91,12,18,7038591,1,0
61,8,14,7722479,7,0
37,14,11,5197780,3,0
133,10,17,6279253,9,0
117,5,18,10240771,7,0
93,8,9,10510169,10,0
127,11,10,11142935,4,0
33,7,8,11865609,7,0
136,10,17,7128461,7,0
113,13,14,10205676,2,0
118,5,14,3093316,10,0
35,14,17,84126,8,0
50,1,14,10714823,8,0
59,0,10,0,5,0
29,8,18,7521898,4,0
140,3,20,8744433,7,0
142,10,11,8753321,10,0
104,7,11,46075,3,0
110,7,12,2656455,6,0
113,5,1,8895168,6,0
77,11,12,3634131,8,0
144,9,8,10396702,2,0
62,15,19,6497717,2,0
37,2,1,7245541,10,0
127,13,9,4969055,9,0
150,14,2,616771,3,0
77,5,19,11744404,3,0
101,0,6,0,5,0
31,4,2,1064975,6,0
142,9,9,2939661,3,0
111,7,10,1582303,3,0
106,1,2,7270200,10,0
68,12,3,7933827,5,0
34,6,10,2339538,3,0
149,12,2,3828596,4,0
88,4,4,3764238,9,0
58,11,8,2329494,4,0
117,7,19,4981590,1,0
120,15,20,4651834,1,0
141,2,4,10967576,3,0
46,6,20,3796387,2,0
142,14,19,10284777,9,0
126,9,5,2284187,7,0
60,2,9,3525928,8,0
144,9,4,3352483,6,0
143,13,16,4897511,2,0
28,6,2,9988011,2,0
60,3,15,6418257,9,0
66,4,3,5738617,2,0
63,0,4,0,6,0
142,3,4,6204707,6,0
147,9,7,2672823,3,0
126,4,1,5425371,2,0
65,11,16,3524607,9,0
72,1,12,5939835,9,0
41,9,13,3427690,1,0
125,3,18,2605372,4,0
95,10,8,9509176,2,0
51,2,2,601111,4,0
37,13,4,4841978,7,0
71,2,18,4399284,10,0
93,4,18,9409048,5,0
117,0,15,0,4,0
133,4,10,7314937,6,0
146,7,10,5932819,2,0
61,0,7,0,5,0
113,2,19,6939118,10,0
29,11,18,6079006,1,0
115,14,17,6258012,1,0
137,11,4,6938365,3,0
74,8,6,3102032,3,0
49,9,9,5081047,6,0
150,14,4,5198523,2,0
72,10,7,3351733,10,0
112,9,8,6695920,7,0
133,4,13,6007996,10,0
29,8,6,1415076,1,0
78,13,17,2528380,2,0
129,9,16,11739351,6,0
120,6,4,11858212,1,0
130,13,9,9206100,9,0
78,0,1,0,2,0
138,1,9,7513423,2,0
42,15,2,55715,2,0
114,5,13,5142784,6,0
108,10,8,1239555,1,0
40,11,17,4490709,6,0
50,13,3,6855479,9,0
57,14,18,4491143,9,0
142,3,18,1583178,8,0
138,6,5,4820372,4,0
58,5,18,1961957,10,0
56,11,14,9986516,3,0
87,6,6,4413088,3,0
46,13,11,10922539,2,0
25,7,6,1687959,4,0
49,8,3,8383345,9,0
91,8,13,6685748,2,0
80,12,7,6271698,10,0
114,13,9,7022303,6,0
66,8,6,5448845,5,0
119,9,11,3838134,2,0
111,7,10,2498658,3,0
47,14,20,3761735,5,0
115,13,7,2614661,3,0
120,2,20,2147043,9,0
76,8,11,10544929,5,0
77,7,1,6839130,7,0
38,8,2,3500172,9,0
84,2,15,6997181,2,0
58,12,12,535007,8,0
47,13,5,11614134,6,0
46,2,18,2883250,6,0
136,9,15,2602441,6,0
141,1,20,6248004,2,0
91,6,15,6109599,1,0
122,15,4,3427141,10,0
43,9,19,11544384,3,0
100,10,18,4655998,4,0
117,13,13,3104205,7,0
75,1,9,10268624,5,0
27,4,5,6200061,7,0
49,10,17,4656011,4,0
134,7,18,4032392,4,0
60,6,9,4627200,3,0
80,14,11,7862077,2,0
91,6,14,11557375,2,0
150,5,1,3514402,5,0
90,6,9,7947336,4,0
37,2,7,1915172,1,0
26,8,12,11586123,9,0
115,5,2,7309366,10,0
29,4,1,7286796,2,0
38,12,10,4082723,4,0
148,15,10,11190174,1,0
130,12,9,3622865,8,0
47,11,11,1059900,4,0
47,7,7,2138627,5,0
142,6,3,7508856,1,0
61,6,3,303588,1,0
106,8,13,292343,8,0
52,2,14,3620320,7,0
137,5,3,8190549,2,0
54,15,16,10296628,9,0
76,5,20,6982731,2,0
138,11,11,6265942,3,0
45,11,5,5357153,9,0
42,13,8,1872590,6,0
101,15,3,3847677,10,0
75,4,9,11992426,3,0
53,7,17,5130823,7,0
103,13,20,10719208,7,0
115,2,7,3599328,6,0
32,4,9,5129784,9,0
123,7,2,2865092,8,0
49,10,7,3370047,8,0
86,11,13,3314633,9,0
42,15,1,11205591,4,0
60,7,17,4652154,8,0
89,1,15,8212200,1,0
66,1,7,10505028,2,0
61,9,5,3451268,8,0
59,5,15,6270501,8,0
144,5,15,6278226,3,0
141,0,9,0,4,0
97,12,20,10393342,2,0
53,15,4,4934053,10,0
33,8,15,3327112,3,0
35,3,15,4097641,5,0
107,9,12,1467524,10,0
63,3,6,9343977,10,0
79,13,8,3107108,2,0
83,15,8,4492104,10,0
63,13,1,3451414,1,0
70,11,2,2864904,7,0
27,8,1,1163462,2,0
146,10,1,3619144,7,0
115,0,6,0,8,0
25,15,6,7327229,4,0
42,8,15,8620338,5,0
149,9,3,3055829,8,0
80,14,12,4310234,4,0
59,6,16,1962549,2,0
58,7,11,8207093,6,0
38,12,7,2285400,5,0
86,13,19,10499938,10,0
32,8,11,3426840,7,0
66,3,16,5078605,9,0
61,3,7,8207448,1,0
105,12,17,3785924,6,0
43,2,11,1468807,8,0
117,4,14,11178132,5,0
109,0,20,0,4,0
139,9,16,3090305,1,0
113,8,7,10542022,7,0
64,5,10,619291,1,0
67,10,19,6682052,5,0
103,9,15,8196036,7,0
92,3,19,6218599,10,0
